violation_number,date_utc,address,zonenumber,lpn,description
831394704,2025-09-24 22:03:25,"25 DRYDOCK AVE, Boston, MA",216906,5EEP51,332 Meter Fee Unpaid
831394705,2025-09-24 22:04:25,"25 DRYDOCK AVE, Boston, MA",216906,5MVR94,332 Meter Fee Unpaid
831395080,2025-09-24 22:57:59,"291 NEWBURY ST, Boston, MA",216906,AIMYON36,313 Hydrant
831395266,2025-09-24 21:42:03,"505 E BROADWAY, Boston, MA",216906,3308405,77 Driveway
831395271,2025-09-24 22:02:58,"x 65 EMERSON ST, Boston, MA",216906,4GCM47,322 No Valid/Expired Registration Plate
831395272,2025-09-24 22:02:58,"x 65 EMERSON ST, Boston, MA",216906,4GCM47,322 No Valid/Expired Registration Plate
831395275,2025-09-24 22:23:21,"x 637 E 1ST ST, Boston, MA",216906,LBT9199,334 $60 Resident Permit Only
831395276,2025-09-24 22:25:57,"637 E 1ST ST, Boston, MA",216906,5BHB21,334 $60 Resident Permit Only
831395277,2025-09-24 22:27:27,"near 637 E 1ST ST, Boston, MA",216906,2THM46,334 $60 Resident Permit Only
831395278,2025-09-24 22:39:31,"602 E 5TH ST, Boston, MA",216906,433M90,334 $60 Resident Permit Only
831395279,2025-09-24 22:44:55,"558 E 5TH ST, Boston, MA",216906,2WBC83,334 $60 Resident Permit Only
831395280,2025-09-24 22:46:29,"554 E 5TH ST, Boston, MA",216906,6PZZ49,334 $60 Resident Permit Only
831395281,2025-09-24 22:47:45,"552 E 5TH ST, Boston, MA",216906,3XYC82,334 $60 Resident Permit Only
831395282,2025-09-24 22:56:40,"x505 E 5TH ST, Boston, MA",216906,3WYM55,323 No Valid / Expired Inspection
831395493,2025-09-24 21:39:33,"227 NEWBURY ST E-F, Boston, MA",216906,X71SAH,332 Meter Fee Unpaid
831395495,2025-09-24 21:46:24,"206 COMMONWEALTH AV, Boston, MA",216906,5RHS74,334 $60 Resident Permit Only
831395497,2025-09-24 22:02:00,"232 NEWBURY ST E-F, Boston, MA",216906,LPA5967,332 Meter Fee Unpaid
831395500,2025-09-24 22:35:16,"nr 50 FAIRFIELD ST B-N, Boston, MA",216906,5PWR64,332 Meter Fee Unpaid
831395503,2025-09-24 22:57:46,"nr 17 EXETER ST, Boston, MA",216906,1SWL74,334 $60 Resident Permit Only
831395504,2025-09-24 23:01:46,"nr 17 EXETER ST, Boston, MA",216906,BL89502,334 $60 Resident Permit Only
831395554,2025-09-24 22:04:32,"x34 PLYMPTON ST, Boston, MA",216906,5YBH97,323 No Valid / Expired Inspection
831395556,2025-09-24 23:17:38,"1200 WASHINGTON ST, Boston, MA",216906,4RGX49,332 Meter Fee Unpaid
831395557,2025-09-24 23:20:20,"1180 WASHINGTON ST, Boston, MA",216906,673SN6,332 Meter Fee Unpaid
831395558,2025-09-24 23:24:27,"1140 WASHINGTON ST, Boston, MA",216906,W61669,332 Meter Fee Unpaid
831395559,2025-09-24 23:26:20,"1148 WASHINGTON ST, Boston, MA",216906,9NC847,332 Meter Fee Unpaid
